Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value
WFI17142,271.13777,-24.39783,y,n*,1.0,,,19.61,18.106,17.189,17.235,G7.75,2.967,0.851,0.986,1.037,7.42,-8.306,0.357,0.435,26302679.918953814,4.943106869868364e-09,-0.0061230850587887945,-5.2485465142380665
WFI17329,271.11291,-24.39623,y,n,1.0,,,19.386,17.864,17.044,17.179,K3.75,1.891,0.582,1.052,1.208,7.04,-8.804,0.303,0.504,10964781.961431852,1.5703628043335515e-09,0.02201573981772028,-5.934752432419911
WFI17391,271.05343,-24.39581,y,n*,1.0,,,19.915,18.213,16.975,17.481,F4.75,5.357,5.57,1.414,1.819,7.11,-7.452,0.503,0.71,12882495.51693135,3.53183169791957e-08,0.1504494094608806,-4.699945294429401
WFI17541,271.02192,-24.39411,y,n,1.0,P,,18.624,16.992,16.225,16.457,M2,0.0,0.777,0.32,2.418,5.53,-9.153,0.496,,338844.15613920277,7.030723198838326e-10,-0.494850021680094,-6.317097287844609
WFI17930,271.10674,-24.39086,y,y*,1.0,,,18.243,16.747,15.894,16.198,K1.25,2.363,1.951,1.499,1.812,6.69,-8.408,0.282,0.282,4897788.193684466,3.908408957924025e-09,0.1758016328482795,-5.857428817748827
WFI17986,271.08788,-24.39039,y,y,1.0,S,19.497,17.793,16.217,15.405,15.524,K8.5,0.804,1.745,0.526,2.828,5.56,-7.814,0.138,0.193,363078.05477010104,1.5346169827992942e-08,-0.27901425584626094,-5.211071594981744
WFI18021,271.06754,-24.39003,y,,1.0,QPS,,17.745,16.376,15.736,15.713,K7.5,0.333,0.918,0.691,1.929,6.09,-8.381,0.164,0.655,1230268.770812381,4.159106104940219e-09,-0.16052195262580163,-5.69485140868788
WFI18161,271.09021,-24.38879,y,y,1.0,,,19.767,17.752,16.572,16.367,K8.75,2.852,2.451,0.494,3.405,5.21,-6.84,0.154,0.133,162181.009735893,1.445439770745928e-07,-0.30627305107635305,-4.349981889503915
WFI18346,271.1449,-24.38708,y,n,2.0,P,,18.231,16.724,16.045,16.423,G1,3.772,5.892,1.771,2.404,6.75,-8.094,0.335,,5623413.251903491,8.053784411990677e-09,0.24821856119007474,-5.6010671079761085
WFI18400,271.2579,-24.38638,?,n*,1.0,,,19.198,17.917,17.254,17.092,K2,1.286,0.284,0.774,0.727,7.76,-8.934,0.164,0.293,57543993.73371567,1.1641260294104933e-09,-0.11125903931710739,-5.617274328043541
WFI18509,271.08857,-24.38547,y,y,1.0,,,19.551,17.77,16.666,17.107,K0,3.746,2.244,1.487,1.79,6.79,-8.176,0.316,,6165950.018614822,6.668067692136219e-09,0.17231096852195424,-5.580349724977671
WFI18767,271.13163,-24.38269,y,n,1.0,P,,18.859,17.145,16.355,16.684,M0.75,0.309,0.66,0.42,2.027,5.86,-9.035,0.383,,724435.9600749906,9.225714271547629e-10,-0.37675070960209955,-6.1976540140981005
WFI18869,271.15316,-24.3818,y,y*,1.0,,,19.491,17.736,16.73,17.089,K6.25,1.891,0.802,0.877,1.666,6.4,-8.845,0.349,0.64,2511886.4315095823,1.4288939585111008e-09,-0.05700040663395948,-6.149062151605747
WFI18941,271.14551,-24.3811,y,y,1.0,,,18.786,17.187,16.325,16.662,K5.75,1.404,0.847,0.941,1.659,6.44,-9.184,0.388,,2754228.703338169,6.54636174067276e-10,-0.026410376572743116,-6.50638449487466
WFI19014,271.10824,-24.38036,y,n*,2.0,,,18.478,17.025,16.278,16.605,K6,0.655,0.539,0.973,1.344,6.77,-10.308,1.129,,5888436.5535558835,4.920395356814511e-11,-0.0118871597316481,-7.511221952903943
WFI19044,271.12283,-24.38012,y,n*,2.0,,20.062,18.157,16.971,16.414,16.512,K2.75,0.623,0.422,0.897,0.955,7.4,-9.582,0.613,,25118864.315095823,2.618183008218981e-10,-0.047207556955907906,-6.4860743709621165
WFI19208,271.05444,-24.37861,y,n,0.0,QPS,20.029,17.93,16.593,16.01,16.218,K5,0.444,0.614,1.048,1.348,6.82,-8.097,0.15,0.89,6606934.480075965,7.998342550070293e-09,0.020361282647707864,-5.316317984101891
WFI19285,270.98461,-24.3777,y,,1.0,,,18.449,16.918,16.219,15.965,K7.75,1.529,1.631,0.597,2.61,5.67,-7.659,0.317,1.112,467735.1412871981,2.1928049353504497e-08,-0.22402566887063094,-5.073345836338501
WFI19318,271.15097,-24.37737,y,,1.0,,20.174,19.093,17.711,16.883,17.067,G6.75,2.553,0.866,0.982,1.028,7.43,-8.636,0.372,,26915348.039269138,2.312064790175599e-09,-0.00788851221305034,-5.572428842135751
WFI19328,271.09127,-24.37723,y,?,1.0,,,18.261,16.643,15.806,16.088,K8,0.922,1.202,0.602,2.276,5.83,-8.515,0.243,,676082.9753919819,3.0549211132155093e-09,-0.22040350874217546,-5.8676837445672785
WFI19335,270.99628,-24.37714,y,,1.0,,,19.101,17.653,16.854,17.254,K9,0.173,0.295,0.683,1.201,6.74,-9.349,0.498,,5495408.738576248,4.4771330417636234e-10,-0.1655792963184674,-6.389876901899925
WFI19339,271.09201,-24.37712,y,n*,1.0,,,19.494,17.811,16.866,17.091,K6.25,1.57,0.572,0.941,1.408,6.68,-8.77,0.376,0.476,4786300.923226381,1.698243652461746e-09,-0.026410376572743116,-5.9937162155685275
WFI19500,271.10095,-24.37548,y,,1.0,,,18.775,17.219,16.332,16.445,K9.5,0.894,0.891,0.498,2.154,5.83,-8.228,0.22,0.46,676082.9753919819,5.915616341754743e-09,-0.30277065724028246,-5.487069475514803
WFI19545,271.10384,-24.37502,y,,1.0,,,18.385,16.925,16.268,16.229,F7.25,4.211,7.089,1.613,2.286,6.93,-7.29,0.087,0.087,8511380.38202376,5.128613839913648e-08,0.20763436738896152,-4.676939988991915
WFI19744,271.20075,-24.37287,y,n,1.0,,,19.982,18.111,16.833,17.487,G4.25,5.097,4.993,1.814,2.354,6.68,-7.928,0.27,0.5,4786300.923226381,1.1803206356517298e-08,0.2586372827240765,-5.47568673970054
WFI19806,271.11491,-24.37242,y,,1.0,,,19.012,17.342,16.541,16.516,K8.25,0.935,0.65,0.655,1.699,6.23,-8.484,0.313,0.247,1698243.652461746,3.2809529311311905e-09,-0.18375870000821692,-5.713885219228786
WFI19899,271.22632,-24.37149,y,n,1.0,,,18.802,17.198,16.365,16.585,K8.25,1.143,0.921,0.607,2.024,5.97,-8.374,0.51,0.764,933254.3007969905,4.226686142656025e-09,-0.21681130892474243,-5.673209958054718
WFI19972,271.09078,-24.37099,y,?,2.0,,19.83,18.461,16.958,16.134,16.428,K7.75,0.441,0.583,0.736,1.561,6.4,-9.205,0.183,0.491,2511886.4315095823,6.237348354824192e-10,-0.13312218566250114,-6.422546048612395
WFI20020,271.11138,-24.37049,y,?,2.0,,19.618,17.914,16.485,15.73,16.001,K9.5,0.055,0.85,0.501,2.104,5.86,-9.176,0.488,,724435.9600749906,6.668067692136219e-10,-0.30016227413275426,-6.425700494825794
WFI20091,271.07958,-24.36987,y,n*,1.0,,,18.69,17.147,16.359,16.34,K5,1.444,0.854,1.05,1.59,6.56,-8.486,0.228,0.494,3630780.54770101,3.2658783217233533e-09,0.021189299069938092,-5.813149700939833
WFI20161,271.08573,-24.36923,y,n*,1.0,,,18.372,16.691,15.85,16.213,K8,1.062,1.277,0.595,2.346,5.79,-8.733,0.278,,616595.0018614822,1.8492686189780759e-09,-0.22548303427145044,-6.096355330048642
WFI20173,271.0875,-24.36916,y,n*,1.0,,,18.604,16.968,16.191,16.361,K8,0.831,0.814,0.649,1.873,6.1,-8.667,0.256,0.468,1258925.411794166,2.152781734724374e-09,-0.18775530319963074,-5.945788203339842
WFI20199,271.08638,-24.36881,y,,1.0,,,19.153,17.401,16.417,16.706,K4.75,2.519,1.626,0.987,2.157,6.11,-8.072,0.264,0.243,1288249.551693135,8.47227414140598e-09,-0.005682847330363273,-5.553611223700587
WFI20209,271.1066,-24.36865,y,n,1.0,,,18.008,16.655,16.086,16.122,G7.5,3.029,3.627,1.716,2.132,6.68,-7.882,0.282,0.321,4786300.923226381,1.3121998990192041e-08,0.23451728351268664,-5.40227318785502
WFI20216,271.15325,-24.36858,y,n,1.0,APD,,,18.811,17.559,17.84,M3.75,0.0,0.236,0.213,1.532,5.98,-8.942,0.314,0.504,954992.5860214368,1.1428783347897712e-09,-0.6716203965612623,-5.72018613831662
WFI20425,271.00106,-24.3665,y,,1.0,,,19.073,17.664,16.714,16.846,M1.5,0.276,0.757,0.358,2.291,5.72,-8.502,0.212,1.032,524807.4602497723,3.147748314101311e-09,-0.44611697335612566,-5.643372378936976
WFI20559,271.03221,-24.36506,y,,1.0,P,,,18.601,17.608,17.161,M3,0.571,0.305,0.264,1.639,5.97,-8.119,0.092,0.103,933254.3007969905,7.603262769401823e-09,-0.5783960731301689,-5.007251292873042
WFI20947,271.11064,-24.36135,y,y,1.0,,,19.216,17.614,16.734,16.907,K6.5,1.097,0.473,0.931,1.301,6.79,-9.009,0.366,0.493,6165950.018614822,9.79489985408698e-10,-0.031050319018657353,-6.182219734030827
WFI20948,271.02988,-24.36125,y,y*,1.0,QPS,,19.766,17.998,17.127,16.96,,,0.185,0.609,1.006,6.93,-9.035,0.138,0.245,8511380.38202376,9.225714271547629e-10,-0.21538270736712464,-5.941160515960652
WFI21025,271.0363,-24.36057,y,,1.0,,,19.413,17.612,16.588,16.858,K7.5,2.225,1.42,0.633,2.399,5.79,-8.099,0.311,0.825,616595.0018614822,7.961593504173184e-09,-0.1985962899826449,-5.492913422196936
WFI21076,271.12679,-24.36014,y,n*,1.0,,,18.542,16.813,15.88,16.314,K7.5,1.693,1.867,0.608,2.751,5.62,-8.389,0.317,0.584,416869.3834703355,4.0831938633269275e-09,-0.21609642072726507,-5.8329137039046035
WFI21488,271.06517,-24.35625,y,n,1.0,APD,,18.857,17.119,16.344,16.453,M0.75,0.374,0.712,0.416,2.105,5.82,-8.515,0.157,0.296,660693.4480075964,3.0549211132155093e-09,-0.3809066693732573,-5.689375276968381
WFI21548,271.05311,-24.35576,y,y*,2.0,,,19.773,18.344,17.244,17.734,M2,0.0,0.244,0.352,1.351,6.27,-9.893,1.05,,1862087.1366628655,1.2793813041575227e-10,-0.453457336521869,-6.799914892559089
WFI21779,271.12357,-24.35383,y,?,1.0,,,18.734,17.049,16.18,16.513,K5,1.974,1.44,0.959,2.065,6.16,-8.406,0.301,0.588,1445439.770745928,3.926449353995993e-09,-0.018181392829336417,-5.852850127525407
WFI21890,271.08142,-24.35276,y,?,1.0,APD,,18.666,16.977,16.151,16.588,K7.75,1.137,1.012,0.648,2.056,5.98,-8.768,0.566,,954992.5860214368,1.7060823890031209e-09,-0.18842499412940666,-6.095361206690084
WFI21912,270.9827,-24.35254,y,?,1.0,,,18.706,17.304,16.559,16.472,K8.25,0.494,0.498,0.701,1.488,6.45,-8.593,0.152,0.225,2818382.931264455,2.552701302661247e-09,-0.15428198203334137,-5.765941019701474
WFI21994,271.11104,-24.35183,y,n,1.0,P,,17.938,16.321,15.499,15.869,K7.75,1.016,1.703,0.593,2.667,5.64,-8.608,0.433,,436515.8322401656,2.466039337234336e-09,-0.22694530663573742,-6.031361060975618
WFI22010,271.06174,-24.35165,y,n*,1.0,,,19.291,17.495,16.511,16.987,K5,2.524,1.519,0.954,2.121,6.12,-8.771,0.331,,1318256.7385564074,1.6943378004473253e-09,-0.020451625295904902,-6.231714611163557
WFI22030,271.01557,-24.35148,y,n*,1.0,,,18.528,17.018,16.343,16.104,K8.25,0.783,0.81,0.624,1.898,6.07,-8.198,0.226,0.306,1174897.5549395303,6.338697112569263e-09,-0.20481541031757602,-5.469732097031766
WFI22050,270.99286,-24.35132,y,n,1.0,,,18.798,17.406,16.622,16.517,M0,0.0,0.382,0.524,1.458,6.34,-8.711,0.106,0.156,2187761.623949552,1.9453600816226615e-09,-0.28066871301627333,-5.785519316221507
WFI22057,271.12007,-24.35126,y,y,1.0,,,19.928,18.4,17.313,17.463,F5.25,4.518,2.32,1.259,1.196,7.59,-7.729,0.422,0.613,38904514.49942805,1.8663796908346693e-08,0.10002573010786256,-4.7222997725758304
WFI22294,271.11359,-24.34913,y,y,1.0,,,18.554,17.04,16.043,16.444,G3.25,3.697,4.191,1.647,2.115,6.81,-7.864,0.175,0.279,6456542.290346549,1.3677288255958495e-08,0.21669359916975436,-5.310570386033998
WFI22435,271.08843,-24.34768,y,,1.0,,,19.132,17.458,16.595,16.971,K5,1.933,0.956,1.035,1.683,6.47,-9.226,0.533,,2951209.226666384,5.942921586155715e-10,0.014940349792936524,-6.5830480709953045
WFI22455,270.99097,-24.34754,y,y*,1.0,S,,18.086,16.691,15.972,15.826,K8.75,0.106,0.661,0.6,1.769,6.14,-8.346,0.092,0.156,1380384.2646028837,4.5081670454146004e-09,-0.2218487496163564,-5.56959463060743
WFI22513,271.14501,-24.34714,y,,1.0,,,19.539,17.747,16.797,17.127,K6.75,2.241,1.153,0.748,2.064,6.04,-8.509,0.264,0.583,1096478.196143185,3.0974192992165777e-09,-0.12609840213553863,-5.882531339054324
WFI22744,271.14403,-24.34502,y,n,1.0,,,19.93,18.17,16.925,17.225,F8.25,5.188,4.971,1.467,1.977,7.02,-7.252,0.198,0.19,10471285.480508985,5.5975760149511044e-08,0.1664301138432827,-4.555108746699811
WFI22808,271.01412,-24.34448,y,,1.0,,,19.076,17.597,16.843,16.452,K5.25,1.091,0.43,0.974,1.146,7.05,-8.397,0.193,0.194,11220184.54301963,4.008667176273026e-09,-0.011441043121384482,-5.485615993598383
WFI22856,271.10168,-24.34407,y,n*,1.0,,,19.22,17.722,16.817,17.286,G8,2.898,1.145,1.261,1.209,7.18,-9.353,0.931,,15135612.484362071,4.436086439314328e-10,0.10071508657308159,-6.515641570197156
WFI22873,271.17217,-24.34382,y,n,2.0,,,18.643,16.993,16.032,16.507,M0,0.883,1.141,0.444,2.518,5.65,-9.281,0.721,,446683.5921509635,5.236004365857495e-10,-0.3526170298853802,-6.557417858895956
WFI22913,271.23465,-24.34342,y,,1.0,,,19.489,17.8,16.831,17.055,K9.5,1.037,0.565,0.538,1.715,6.13,-8.73,0.205,0.29,1348962.8825916534,1.8620871366628656e-09,-0.2692177243336108,-5.903868666012303
WFI23677,271.01794,-24.33656,y,,2.0,,19.436,18.737,17.356,16.655,16.231,K6.75,0.013,0.249,0.835,0.959,7.26,-8.798,0.166,0.517,18197008.586099826,1.59220872705117e-09,-0.07831352451639793,-5.7242774226840325
WFI23945,271.05125,-24.33419,y,n,1.0,,,19.003,17.539,16.779,16.53,K8.25,0.772,0.506,0.696,1.499,6.43,-8.375,0.167,0.158,2691534.803926914,4.216965034285823e-09,-0.15739076038943792,-5.5526300985562775
WFI24293,271.10184,-24.33104,y,n*,1.0,QPS,,18.48,16.98,16.27,16.438,K7.75,0.571,0.645,0.717,1.642,6.32,-8.974,0.334,,2089296.1308540408,1.0616955571987241e-09,-0.1444808443321999,-6.211525807198765
WFI24459,271.05811,-24.32946,y,n*,1.0,,,19.383,17.614,16.483,17.041,G8.25,4.06,3.336,1.683,2.079,6.69,-8.186,0.286,0.517,4897788.193684466,6.516283940608428e-09,0.22608411597582387,-5.692577304614762
WFI24784,270.98475,-24.32653,y,,1.0,,,19.639,18.081,17.097,17.437,G7.75,3.927,2.065,1.392,1.616,6.95,-8.058,0.288,0.628,8912509.381337458,8.749837752274364e-09,0.14363923527454328,-5.363984053218974
WFI24884,271.11387,-24.32551,y,,1.0,,,19.799,17.936,16.819,17.36,K7.25,2.048,0.845,0.731,1.822,6.19,-9.124,0.598,,1548816.6189124826,7.516228940182046e-10,-0.13608262304213956,-6.424516111983472
WFI25221,271.15772,-24.32229,y,y*,1.0,,,19.536,17.929,16.887,17.191,M1.25,0.767,0.569,0.389,1.95,5.89,-8.81,0.201,0.742,776247.1166286912,1.5488166189124797e-09,-0.41005039867429227,-5.922473763485556
WFI25346,271.09817,-24.32103,y,y*,1.0,QPD,,,18.964,17.413,17.937,M4.75,0.0,0.288,0.159,1.841,5.19,-8.608,0.302,0.309,154881.66189124828,2.466039337234336e-09,-0.7986028756795485,-5.56664746281558
WFI25374,270.98352,-24.3208,y,n,1.0,,,19.388,17.752,16.863,16.961,K7,1.611,0.708,0.794,1.643,6.37,-8.619,0.419,,2344228.8153199228,2.4043628000069345e-09,-0.10017949757290372,-5.886320550250425
WFI25554,271.09075,-24.31814,y,y*,1.0,APD,,,18.335,17.217,17.613,M1,1.453,0.987,0.382,2.525,5.63,-8.521,0.154,0.356,426579.5188015926,3.0130060241861156e-09,-0.41793663708829126,-5.731401306005148
WFI25566,271.11051,-24.31788,y,n,1.0,,,18.593,16.967,16.105,16.348,K8.25,1.064,1.051,0.591,2.162,5.88,-8.445,0.23,0.535,758577.5750291835,3.5892193464500497e-09,-0.22841251911874466,-5.76802522334501
WFI25832,271.12492,-24.31419,y,n*,2.0,S,,,19.325,18.007,18.736,M2,1.69,0.456,0.339,1.852,5.91,-9.318,0.985,,812830.5161640996,4.80839348449729e-10,-0.4698003017969178,-6.354342736869646
WFI25964,271.07742,-24.31261,y,y,1.0,P,,,18.794,17.666,17.84,M2.75,1.133,0.437,0.279,1.923,5.83,-8.39,0.288,0.354,676082.9753919819,4.073802778041122e-09,-0.5543957967264024,-5.363085270188552
WFI26045,271.07467,-24.31175,y,n*,1.0,P,,,18.536,17.465,17.524,M0.75,2.343,0.838,0.408,2.284,5.74,-7.824,0.2,0.22,549540.8738576248,1.499684835502374e-08,-0.3893398369101201,-5.021679998467922
WFI26141,271.25719,-24.3107,y,n,2.0,,14.598,13.36,13.193,13.127,13.196,A7.75,0.309,10.238,1.72,1.816,6.98,-7.327,0.024,,9549925.86021437,4.709773263969529e-08,0.2355284469075489,-4.725087075084528
WFI26297,271.06996,-24.30858,y,n*,1.0,P,,,18.813,17.551,17.525,M3.5,1.114,0.487,0.225,2.157,5.26,-7.991,0.184,0.236,181970.08586099825,1.0209394837076808e-08,-0.6478174818886375,-5.092244146085221
WFI26301,271.10704,-24.30856,y,y,1.0,QPS,,,18.844,17.715,17.957,M1.25,1.089,0.387,0.403,1.612,6.11,-8.728,0.217,0.407,1288249.551693135,1.8706821403658016e-09,-0.39469495385889053,-5.767480050420151
WFI26328,270.97467,-24.3082,y,?,2.0,,19.447,19.021,17.713,17.105,16.465,K5.25,0.325,0.204,0.757,0.79,7.58,-8.799,0.029,0.046,38018939.632056125,1.5885467485977806e-09,-0.12090412049992724,-5.545313433804056
WFI26577,270.99579,-24.30491,y,?,1.0,,,18.943,17.338,16.4,16.588,K9.25,0.873,0.737,0.535,1.928,5.98,-8.538,0.168,0.289,954992.5860214368,2.8973435877013212e-09,-0.27164621797877153,-5.770776239474789
WFI27217,270.99516,-24.29723,y,y*,1.0,,,19.388,17.649,16.591,16.77,M1,0.854,0.718,0.397,2.149,5.79,-8.167,0.284,0.283,616595.0018614822,6.807693586937417e-09,-0.40120949323688493,-5.330633665414261
WFI27280,271.11605,-24.29674,y,y,1.0,,,20.01,18.071,16.963,17.296,K5,3.17,1.532,0.951,2.13,6.11,-7.957,0.253,0.274,1288249.551693135,1.1040786199020735e-08,-0.021819483062586086,-5.420271152609347
WFI27304,271.12583,-24.29648,y,?,1.0,,,18.803,17.256,16.481,16.789,K7.75,1.066,0.775,0.688,1.8,6.18,-9.324,0.624,,1513561.2484362072,4.742419852602448e-10,-0.16241156176448873,-6.598703171287017
WFI27870,271.05737,-24.29087,y,n*,1.0,,,18.816,17.096,16.163,16.466,K7.75,1.584,1.351,0.614,2.376,5.78,-8.257,0.243,0.274,602559.5860743581,5.5335010921573715e-09,-0.21183162885883233,-5.639981994351351
WFI27887,271.05841,-24.29068,y,y,1.0,,,19.509,17.735,16.441,16.729,F5.25,5.612,10.656,1.733,2.564,6.87,-6.777,0.172,0.164,7413102.413009177,1.671090614310707e-07,0.23879856271391703,-4.224026682043857
WFI28138,271.05786,-24.2882,y,,1.0,,,19.098,17.438,16.471,16.937,K8.25,1.136,0.719,0.641,1.787,6.16,-9.37,0.577,,1445439.770745928,4.265795188015934e-10,-0.19314197048118256,-6.617998924241939
WFI28153,271.08507,-24.28809,y,,1.0,,,19.277,17.529,16.367,16.787,M0.75,1.401,1.254,0.388,2.789,5.42,-8.126,0.153,0.402,263026.7991895382,7.481695005111553e-09,-0.41116827440579273,-5.430428623672159
WFI28535,271.1272,-24.28467,y,n,2.0,,,18.298,16.871,16.206,16.435,K7.5,0.43,0.622,0.753,1.588,6.39,-9.186,0.29,,2454708.915685029,6.516283940608427e-10,-0.12320502379929942,-6.418928563558026
WFI28903,271.10013,-24.28161,y,,1.0,,,19.305,17.738,16.658,17.058,F9.75,4.968,6.667,1.738,2.448,6.79,-7.407,0.264,0.218,6165950.018614822,3.917418771077831e-08,0.24004977211264766,-4.888338168796115
WFI28967,271.10116,-24.28102,y,,1.0,,,18.657,17.122,16.339,16.606,K7.75,0.87,0.735,0.698,1.753,6.22,-8.929,0.267,0.429,1659586.9074375597,1.1776059735208067e-09,-0.15614457737683893,-6.194381190533797
WFI29462,271.00259,-24.27703,y,,1.0,,,19.747,18.199,17.33,17.398,K9.25,0.523,0.247,0.67,1.116,6.83,-9.221,0.276,0.413,6760829.753919818,6.011737374832779e-10,-0.17392519729917355,-6.21539077490836
WFI29815,271.07141,-24.2743,y,y*,1.0,,,18.632,16.878,16.0,16.227,K5,2.151,1.932,0.923,2.392,5.95,-7.981,0.152,0.189,891250.9381337459,1.0447202192208004e-08,-0.03479829897408793,-5.4952989501518985
WFI29988,271.2764,-24.27306,y,,1.0,,,20.04,18.3,17.362,17.625,K5,2.278,0.59,1.044,1.322,6.85,-9.134,0.433,,7079457.843841373,7.345138681571143e-10,0.01870049866624337,-6.3390968874444855
WFI30020,271.04073,-24.27289,y,n*,1.0,,,19.891,18.045,17.09,17.406,K7.5,1.925,0.71,0.733,1.697,6.29,-8.801,0.547,,1949844.5997580455,1.5812480392703827e-09,-0.13489602535887207,-6.061752954900011
WFI31269,271.14747,-24.26366,y,,1.0,,,18.494,17.024,16.336,16.523,K7.75,0.547,0.613,0.726,1.6,6.36,-9.284,0.382,,2290867.6527677746,5.199959965335151e-10,-0.1390633792999063,-6.511238306393586
WFI31634,271.0236,-24.26095,y,y*,1.0,,19.666,17.902,16.625,15.982,16.183,K0,2.204,1.894,1.422,1.645,6.87,-8.457,0.415,0.411,7413102.413009177,3.491403154785855e-09,0.15289959639374748,-5.806398330315611
WFI31670,271.18433,-24.26057,y,n*,1.0,,,18.485,16.943,16.138,16.433,K5.25,1.366,0.988,0.988,1.737,6.4,-8.963,0.19,0.261,2511886.4315095823,1.0889300933334356e-09,-0.005243055412371883,-6.325886897770324
WFI33389,271.13225,-24.24843,y,n*,0.0,,,19.064,17.331,16.23,16.89,M0.25,1.43,1.405,0.417,2.846,5.47,-8.61,0.437,,295120.9226666384,2.4547089156850337e-09,-0.3798639450262425,-5.929451624541981
WFI35073,271.1207,-24.2358,y,n,1.0,,,18.077,16.575,15.702,16.077,G9.75,2.554,2.492,1.567,1.874,6.76,-8.433,0.189,0.371,5754399.373371567,3.689775985701505e-09,0.1950689964685901,-5.8755488651734735
WFI35120,271.22717,-24.23539,y,n,1.0,,,18.983,17.325,16.335,16.878,K0,3.717,3.454,1.784,2.221,6.56,-8.683,0.449,,3630780.54770101,2.0749135174549106e-09,0.25139485004010426,-6.271789502472963
WFI35380,271.0427,-24.23359,y,,1.0,,,19.478,17.71,16.696,17.201,K8.25,1.473,0.731,0.638,1.803,6.14,-9.353,0.713,,1380384.2646028837,4.436086439314328e-10,-0.19517932127883766,-6.6069057326109375
WFI36376,271.11586,-24.22616,y,,1.0,,,18.353,16.805,16.018,16.332,K7.75,0.861,0.972,0.652,2.015,6.01,-9.175,0.412,,1023292.9922807537,6.683439175686135e-10,-0.1857524042680798,-6.493065200098573
WFI36379,271.10502,-24.22614,y,n*,1.0,,,17.937,16.427,15.738,15.602,K7.5,0.699,1.162,0.656,2.17,5.92,-7.888,0.173,0.198,831763.7711026708,1.2941958414499863e-08,-0.1830961606243397,-5.2460847548890674
WFI36451,271.19321,-24.22558,y,n,1.0,,,19.642,18.212,17.34,17.311,M0.5,0.417,0.29,0.49,1.317,6.45,-8.933,0.145,0.188,2818382.931264455,1.166809617060963e-09,-0.3098039199714863,-5.929182775581385
WFI39034,271.08515,-24.20577,y,n,2.0,,20.254,18.22,16.764,16.086,16.194,K5,0.959,0.805,1.055,1.544,6.6,-8.914,0.266,0.616,3981071.7055349695,1.2189895989248673e-09,0.023252459633711444,-6.227049870016083
WFI39120,271.02912,-24.20516,y,,1.0,,,19.418,17.9,16.832,16.934,F6,4.378,3.26,1.271,1.469,7.24,-7.533,0.289,0.555,17378008.28749376,2.9308932452503185e-08,0.10414555055400815,-4.6748733894780035
WFI39630,271.04994,-24.20071,?,,1.0,,,19.443,17.831,16.8,17.076,K9.25,1.489,0.823,0.524,2.037,5.91,-8.396,0.382,0.455,812830.5161640996,4.017908108489392e-09,-0.28066871301627333,-5.647299983311661
WFI44179,270.89011,-24.16118,?,n,2.0,,14.339,13.294,12.841,12.65,12.735,F7,0.224,11.467,1.872,2.888,6.75,-8.013,0.263,,5623413.251903491,9.705099672454899e-09,0.27230584440208644,-5.547443476497648
05350249-0533099,83.76040649414062,-5.552763938903809,,,,,,,,,,,0.324999988079071,0.3435579584618176,0.2919999957084656,1.6880380232205243,5.970346883325177,-8.705974909171294,,,934000.0152587891,1.9679999851973666e-09,-0.5346171549344233,-5.6438404612345
05344441-0526061,83.68505096435547,-5.435040950775146,,,,,,,,,,,1.8350000381469729,0.2128139090378256,0.1490000039339065,1.6098103677480124,5.4248816409129565,-8.827105292219509,,,266000.0026226044,1.4890000343825727e-09,-0.8268137201214584,-5.657125728060694
05391883-0230531,84.82847595214844,-2.514761924743652,,,,,,,,,,,1.7389999628067017,1.3931567830601412,1.100000023841858,1.924513108950934,6.389166092817094,-8.530177980777218,,,2450000.047683718,2.950000022039485e-09,0.04139269457130433,-5.950522688303409
05401274-0228199,85.05310821533203,-2.472201108932495,,,,,,,,,,,0.6460000276565552,0.9908319444593106,0.4460000097751617,2.364429031907467,5.716003327704972,-8.49363028904181,,,519999.9809265137,3.2089999546514103e-09,-0.3506651317692511,-5.745131430162217
05324196-0539239,83.17485809326172,-5.656659126281738,,,,,,,,,,,1.9919999837875368,2.5941793891776674,0.75,2.981061803617196,5.613841835984236,-8.558461974208525,,,411000.0133514402,2.763999917831941e-09,-0.12493873660829995,-6.108512549334212
05393982-0231217,84.91593170166016,-2.5227210521698,,,,,,,,,,,0.4050000011920929,0.6011737363281667,0.9629999995231628,1.3764896782076643,6.799133688566373,-8.187153462710658,,,6296999.931335443,6.499000004822625e-09,-0.016373713090509872,-5.373298850744744
05344789-0530465,83.6995620727539,-5.512937068939209,,,,,,,,,,,0.9589999914169312,0.4456562371433297,0.4449999928474426,1.6575445216628284,6.116275601206823,-8.675923402616585,,,1307000.041007996,2.1090000856816025e-09,-0.3516399959995543,-5.761757494471989
05395362-0233426,84.97344970703125,-2.561851978302002,,,,,,,,,,,0.7710000276565552,0.1909853338249918,0.3540000021457672,1.1997871686347756,6.427486128287773,-8.558619107070975,,,2676000.118255614,2.763000050975957e-09,-0.45099673534174084,-5.40358523712209
05372168-0040399,84.34037017822266,-0.6777639985084534,,,,,,,,,,,0.4090000092983246,0.1541700535892966,0.3260000050067901,1.1087851667898294,6.488973516934689,-9.432738303055691,,,3082999.9446868924,3.692000039023944e-10,-0.486782393262057,-6.211753731120928
