Name,RAdeg,DEdeg,Memb,Disk,Acc,K2var,umag,gmag,rmag,imag,Hamag,SpT,Avmag,Lbol,Mstar,Rstar,logAge,logMacc,DlogMacc+,DlogMacc-,Age_linear,Macc_linear,logMstar,c_value
VPHAS J180241.0-241216.2,270.67073,-24.20451,y,?,1.0,,19.199,17.943,16.628,15.955,16.039,K2.5,1.274,0.967,1.217,1.41,6.89,-8.533,0.593,0.438,7762471.166286912,2.930893245250324e-09,0.08529057823006501,-5.797335037336433
VPHAS J180243.3-241743.2,270.68045,-24.29534,y,,1.0,,18.625,17.764,16.58,15.916,16.023,G6.5,1.703,1.208,1.167,1.208,7.19,-8.649,0.263,0.595,15488166.189124828,2.2438819237827707e-09,0.06707085604537019,-5.769292088077261
VPHAS J180247.3-241820.5,270.6972,-24.3057,?,?,1.0,,,20.025,18.445,17.414,17.569,G4.5,3.762,1.207,1.07,1.164,7.33,-8.047,0.063,0.078,21379620.895022325,8.974287945007472e-09,0.029383777685209667,-5.066902394870445
VPHAS J180247.9-241412.4,270.69974,-24.23678,?,,1.0,,,18.936,17.541,16.933,16.802,K5,0.639,0.3,0.867,0.942,7.34,-9.09,0.383,0.328,21877616.23949552,8.128305161640995e-10,-0.06198090252378971,-6.001950815253899
VPHAS J180248.8-241547.5,270.70348,-24.2632,?,,1.0,,,19.991,18.345,17.299,17.724,G7,3.693,1.249,1.128,1.24,7.24,-8.529,0.3,0.339,17378008.28749376,2.9580124665515463e-09,0.05230909964732344,-5.611958742675396
VPHAS J180249.8-241350.9,270.70766,-24.23081,y,y,2.0,,19.827,19.668,18.063,17.176,17.041,K4,2.213,0.649,1.09,1.296,6.93,-8.324,0.064,0.067,8511380.38202376,4.7424198526024486e-09,0.037426497940623665,-5.51749046966381
VPHAS J180250.4-241822.3,270.70993,-24.30619,?,y,1.0,,20.186,19.279,17.784,16.714,17.109,F4.5,4.484,4.008,1.344,1.531,7.2,-7.653,0.365,0.552,15848931.924611142,2.2233098906514052e-08,0.12839926871780646,-4.838883632632192
VPHAS J180251.4-241713.2,270.71408,-24.287,?,y*,1.0,,,16.161,15.333,14.853,14.849,F6.75,1.222,2.496,1.208,1.331,7.3,-8.287,0.185,0.277,19952623.149688788,5.1641636927207e-09,0.08206693428511301,-5.379112898774455
VPHAS J180252.2-241126.2,270.71766,-24.19062,y,n*,2.0,,,18.374,16.903,16.196,16.754,K5,1.069,0.913,0.842,1.786,6.29,-9.625,0.593,,1949844.5997580455,2.371373705661655e-10,-0.07468790850035051,-6.954182407096794
VPHAS J180307.3-241933.9,270.78042,-24.32611,?,n,2.0,,,20.239,18.453,17.125,18.009,F3.5,5.936,7.35,1.572,2.012,7.0,-9.591,2.032,,10000000.0,2.564484036517721e-10,0.1964525417033891,-6.9364530522962315
